CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),"Cfm,j ($/fact.)",COT
1,394.58,47.96,153.09,80.25,30.43,37.14,15874.0,58.93
0,394.58,47.96,89.52,59.51,25.87,37.14,15874.0,24.76
2,312.92,47.96,257.12,187.01,83.99,7.28,9902.0,25.88
2,312.92,47.96,206.29,187.01,83.99,7.28,9902.0,25.28
2,312.92,47.96,155.46,187.01,83.99,7.28,9902.0,44.77
0,312.92,47.96,161.31,97.24,36.83,7.28,9902.0,28.42
0,312.92,47.96,111.37,97.24,27.67,7.28,9902.0,49.77
2,392.0,47.96,251.44,28.69,69.35,37.14,8891.0,44.39
2,392.0,47.96,235.77,28.69,69.35,37.14,8891.0,37.32
2,392.0,47.96,220.09,28.69,69.35,37.14,8891.0,48.6
1,392.0,47.96,153.09,28.69,29.54,37.14,8891.0,34.31
0,392.0,47.96,89.52,28.69,26.89,37.14,8891.0,38.64
1,291.69,52.84,257.95,57.57,58.96,22.85,9681.0,29.52
1,291.69,52.84,235.6,57.57,58.96,22.85,9681.0,53.7
1,291.69,52.84,213.26,57.57,58.96,22.85,9681.0,43.03
0,291.69,52.84,162.49,74.85,20.2,22.85,9681.0,37.55
0,291.69,52.84,113.13,71.31,19.74,22.85,9681.0,52.77
2,294.56,52.84,260.81,84.61,57.81,22.85,15941.0,44.06
1,294.56,52.84,226.77,84.61,57.81,22.85,15941.0,37.23
1,294.56,52.84,192.74,84.61,57.81,22.85,15941.0,44.64
0,294.56,52.84,153.34,83.49,24.72,22.85,15941.0,48.23
0,294.56,52.84,90.78,59.31,21.14,22.85,15941.0,26.99
2,308.41,52.84,257.95,189.88,84.8,36.71,9.96,47.88
2,308.41,52.84,208.1,189.88,84.8,36.71,9.96,32.69
2,308.41,52.84,158.26,189.88,84.8,36.71,9.96,51.15
1,308.41,52.84,162.49,100.11,37.51,36.71,9.96,32.58
0,308.41,52.84,113.13,100.11,28.33,36.71,9.96,42.52
1,292.22,52.84,260.81,25.96,55.87,22.85,8929.0,51.76
1,292.22,52.84,245.36,25.96,55.87,22.85,8929.0,42.55
1,292.22,52.84,229.91,25.96,55.87,22.85,8929.0,47.11
0,292.22,52.84,153.34,25.96,24.59,22.85,8929.0,18.65
0,292.22,52.84,90.78,25.96,22.49,22.85,8929.0,49.29
2,296.26,55.93,266.32,53.33,59.15,26.57,9712.0,41.75
1,296.26,55.93,243.9,53.33,59.15,26.57,9712.0,38.73
1,296.26,55.93,221.49,53.33,59.15,26.57,9712.0,23.43
0,296.26,55.93,170.11,68.6,19.72,26.57,9712.0,30.53
0,296.26,55.93,117.41,62.36,19.25,26.57,9712.0,40.34
2,299.1,55.93,264.36,84.94,57.93,26.57,15992.0,29.72
1,299.1,55.93,230.27,84.94,57.93,26.57,15992.0,29.68
1,299.1,55.93,196.18,84.94,57.93,26.57,15992.0,35.11
0,299.1,55.93,154.11,87.95,24.28,26.57,15992.0,23.6
0,299.1,55.93,94.26,59.86,20.66,26.57,15992.0,22.31
2,312.46,55.93,266.32,188.35,85.03,24.01,10002.0,48.46
2,312.46,55.93,216.31,188.35,85.03,24.01,10002.0,29.9
2,312.46,55.93,166.3,188.35,85.03,24.01,10002.0,54.19
1,312.46,55.93,170.11,98.98,37.09,24.01,10002.0,42.41
0,312.46,55.93,117.41,98.98,27.79,24.01,10002.0,36.14
1,296.78,55.93,264.36,21.01,55.99,26.57,8958.0,44.37
1,296.78,55.93,248.96,21.01,55.99,26.57,8958.0,90.67
1,296.78,55.93,233.56,21.01,55.99,26.57,8958.0,40.74
0,296.78,55.93,154.11,21.01,24.17,26.57,8958.0,55.53
0,296.78,55.93,94.26,21.01,22.04,26.57,8958.0,24.14
2,299.77,57.14,265.55,54.36,59.71,28.88,9731.0,34.05
1,299.77,57.14,243.09,54.36,59.71,28.88,9731.0,56.62
1,299.77,57.14,220.63,54.36,59.71,28.88,9731.0,45.34
0,299.77,57.14,167.84,70.47,19.79,28.88,9731.0,25.01
0,299.77,57.14,112.58,60.03,19.31,28.88,9731.0,61.47
2,302.22,57.14,261.35,82.12,58.39,28.88,16025.0,88.7
1,302.22,57.14,227.05,82.12,58.39,28.88,16025.0,66.65
1,302.22,57.14,192.74,82.12,58.39,28.88,16025.0,-0.39
0,302.22,57.14,149.51,86.86,24.36,28.88,16025.0,18.12
0,302.22,57.14,89.04,51.58,20.71,28.88,16025.0,7.85
2,312.38,57.14,265.55,194.41,85.13,25.19,10035.0,50.58
2,312.38,57.14,215.42,194.41,85.13,25.19,10035.0,22.69
2,312.38,57.14,165.3,194.41,85.13,25.19,10035.0,63.27
1,312.38,57.14,167.84,99.7,37.05,25.19,10035.0,43.82
0,312.38,57.14,112.58,99.7,27.72,25.19,10035.0,56.78
