CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),"Cfm,j ($/fact.)",COT
743.46,394.58,47.96,153.09,80.25,30.43,37.14,15874,58.93
654.58,394.58,47.96,89.52,59.51,25.87,37.14,15874,24.76
896.29,312.92,47.96,257.12,187.01,83.99,7.28,9902,25.88
845.46,312.92,47.96,206.29,187.01,83.99,7.28,9902,25.28
794.63,312.92,47.96,155.46,187.01,83.99,7.28,9902,44.77
663.54,312.92,47.96,161.31,97.24,36.83,7.28,9902,28.42
604.45,312.92,47.96,111.37,97.24,27.67,7.28,9902,49.77
826.58,392,47.96,251.44,28.69,69.35,37.14,8891,44.39
810.91,392,47.96,235.77,28.69,69.35,37.14,8891,37.32
795.23,392,47.96,220.09,28.69,69.35,37.14,8891,48.6
688.42,392,47.96,153.09,28.69,29.54,37.14,8891,34.31
622.19,392,47.96,89.52,28.69,26.89,37.14,8891,38.64
741.85,291.69,52.84,257.95,57.57,58.96,22.85,9681,29.52
719.5,291.69,52.84,235.6,57.57,58.96,22.85,9681,53.7
697.16,291.69,52.84,213.26,57.57,58.96,22.85,9681,43.03
624.91,291.69,52.84,162.49,74.85,20.2,22.85,9681,37.55
571.55,291.69,52.84,113.13,71.31,19.74,22.85,9681,52.77
773.47,294.56,52.84,260.81,84.61,57.81,22.85,15941,44.06
739.44,294.56,52.84,226.77,84.61,57.81,22.85,15941,37.23
705.4,294.56,52.84,192.74,84.61,57.81,22.85,15941,44.64
631.79,294.56,52.84,153.34,83.49,24.72,22.85,15941,48.23
541.47,294.56,52.84,90.78,59.31,21.14,22.85,15941,26.99
930.58,308.41,52.84,257.95,189.88,84.8,36.71,9.96,47.88
880.74,308.41,52.84,208.1,189.88,84.8,36.71,9.96,32.69
830.9,308.41,52.84,158.26,189.88,84.8,36.71,9.96,51.15
698.07,308.41,52.84,162.49,100.11,37.51,36.71,9.96,32.58
639.54,308.41,52.84,113.13,100.11,28.33,36.71,9.96,42.52
